Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
33.22,5812.0,restaurants or eating places,the pollard dining roo,['new american restaurant'],the dining room at the pollard,['new american restaurant'],red lodge mt,Entertainment
42.8,nan,nan,ftd*helen's floris,"['florist in readington, new jersey']",helens florist and garden center,"['florist in readington, new jersey']",whitehouse st nj,Retail Trade
4.0,7523.0,automobile parking or parking lots,laz ca st park,"['near san diego, ca', 'parking state st', 'parking ave', 'parking lotmeridian condominiums, union st']",laz parking,"['meridian condominiums, union st', 'near san diego, ca', 'seventh ave & f stopen hours', 'ave']",san diego ca,Services to Transport
2.84,5814.0,fast food restaurants,utopia,"['non-profit organization in kent, washington']",utopia,"['non-profit organization in kent, washington']",seattle wa,Entertainment
0.01,8220.0,universities colleges sr colleges or professional schools,asu athletic ticket of,[],asu,"['view all', 'public university in tempe, arizona']",tempe az,Retail Trade
230.0,8398.0,charitable or social services organizations,families of sma,[],cure sma,[],il,Health and Community Services
49.5,nan,nan,days inn norman,['hotel'],days inn by wyndham,['hotel'],norman ok,Travel
150.0,7399.0,business services (nec),paypal *ceu service,[],paypal *ceu service,[],ca,Property and Business Services
139.06,nan,nan,el machetazo tocum,"['vía panamericana, urbanización de diciembreopen ⋅ closes', 'panamaopen ⋅ closes', 'near panama city, panama']",panama park,"['view all', 'pharmacy in jacksonville, florida']",panama pb,Travel
24.51,5921.0,liquor wine package or beer stores,liquor max,['liquor store'],liquor max,['liquor store'],loveland co,Retail Trade
29.4,5074.0,plumbing and heating equipment and supplies,rayne of phoenix,['water purification company'],rayne of phoenix,['water purification company'],az,"Trade, Professional and Personal Services"
80.0,8398.0,charitable or social services organizations,sq *ear candy charity,[],ear candy charity,"['charity in tempe, arizona']",phoenix az,Health and Community Services
31.0,5611.0,men's and/or boys' clothing and accessories stores,melee industries,[],melee industries,[],ca,Retail Trade
46.75,7299.0,misc personal services not elsewhere classified,myfliksnet llc,['view all'],myfliksnet llc,['view all'],az,"Trade, Professional and Personal Services"
27.07,5812.0,restaurants or eating places,p.f. mc carthys,['bar'],p.f. mc carthys,['bar'],kenmare co ke ie,Entertainment
129.0,5999.0,miscellaneous & specialty stores,bishop design inc,"['manufacturer in union county, north carolina']",bishop design,"['manufacturer · waxhaw, ncclosed ⋅ opens fri', 'graphic designer · asheville, ncclosed ⋅ opens fri', 'near north carolina', 'church · fayetteville, nc']",nc,Property and Business Services
14.14,5812.0,restaurants or eating places,wolters shoreview,['american restaurant'],wolters shoreview supper club,['american restaurant'],amery wi,Entertainment
29.75,nan,nan,asia bistro,['chinese restaurant'],sapporo sushi asian bistro,['sushi restaurant'],woodbury mn,Entertainment
2.4,8062.0,hospitals,cgrmc cafeteria,"['view all', 'coffee shop · n pinal ave ⋅ opens fri', '· $breakfast · w stclosed ⋅ opens fri', '· $chinese · e florence blvdcloses soon ⋅', 'near casa grande, az']",cgrmc cafeteria,"['view all', 'coffee shop · n pinal ave ⋅ opens fri', '· $breakfast · w stclosed ⋅ opens fri', '· $chinese · e florence blvdcloses soon ⋅', 'near casa grande, az']",casa grande az,Health and Community Services
66.72,7011.0,lodging hotels motels resorts,ocean odyssey llc,"['vacation home rental agency in yachats, oregon']",ocean odyssey vacation rentals,"['vacation home rental agency in yachats, oregon']",yachats or,Travel
9.0,7542.0,car washes,suds city qps,"['laundromat in evans, colorado']",evans court clerk,"['city courthouse in evans, colorado']",evans co,Services to Transport
80.82,5561.0,recreational & utility trailers camper dealers,traveltown santa fe,"['view all', 'book store · paseo de peraltaclosed ⋅ opens fri', 'near santa fe, nm', 'historical landmark · lincoln aveopen hours', 'tourist attraction · read stclosed ⋅ opens friarts district with galleries & dining']",santa fe rv,"['rv park · browncastle ranch', 'near santa fe rv, agua fria st, santa fe, nm', 'rv dealer · agua fria stclosed ⋅ opens fri', 'rv park · cerrillos rd']",santa fe nm,Retail Trade
43.77,nan,nan,art on center,"['art gallery · lincolnton, nc', 'counselor · gastonia, nc', 'near cramerton, nc', 'dance school · market stclosed ⋅ opens mon']",cramerton community center,"['community center in cramerton, north carolina']",cramerton nc,Entertainment
33.45,5499.0,misc food stores - specialty markets & convenience,squid's market,['grocery store'],squids market,['grocery store'],greenbush mn,Retail Trade
148.71,7011.0,lodging hotels motels resorts,ji chang ji tuan pu,[],shanghai cafe,"['western · china', '· $$chinese ·', '· $$$chinese', 'near shanghai, china']",shanghai cn,Entertainment
28.62,nan,nan,p.b. dye golf club,['golf club'],pb dye golf club,['golf club'],ijamsville md,Entertainment
28.44,5812.0,restaurants or eating places,mat su family restaura,['family restaurant'],mat su family restaurant,['family restaurant'],wasilla ak,Entertainment
18.9,5621.0,women's ready-to-wear stores,allure,"[""women's clothing store in douglas, wyoming""]",allure,"[""women's clothing store in douglas, wyoming""]",douglas wy,"Trade, Professional and Personal Services"
353.0,7217.0,upholstery cleaning or carpet cleaning,stanley steemer r,"['view all', 'canal winchester, ohopen hours', 'beavercreek, ohopen hours', 'near columbus oh, oh', 'dublin, ohopen hours']",stanley steemer,"['parker, coopen hours', 'golden, coopen hours', 'colorado springs, coclosed ⋅ opens fri', 'near colorado']",co,"Trade, Professional and Personal Services"
35.9,5641.0,children's and infants' wear stores,juppy llc,[],juppy,[],nv,Retail Trade
65.25,5499.0,misc food stores - specialty markets & convenience,activation products,"['view all', 'food manufacturer · willmott stclosed ⋅ opens fri', 'manufacturer · elgin st w suite ⋅ opens fri', 'near cobourg, on, canada']",activation products,"['view all', 'food manufacturer · willmott stclosed ⋅ opens fri', 'manufacturer · elgin st w suite ⋅ opens fri', 'near cobourg, on, canada']",cobourg cd,Retail Trade
5.44,nan,nan,corona regl med ct,"['hospital in corona, california']",corona regional medical center,"['hospital in corona, california']",corona ca,Health and Community Services
6.0,nan,nan,muvico palm harbor,[],amc classic palm harbor 0,"['standard am · pm · pm · pm · pm · pm', 'movie theater in palm harbor, florida', 'standard pm · pm · pm · pm · pm · pm · pm · pm', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul', 'standard am · pm · pm · pm · pm']",fort lauderda fl,Entertainment
34.0,nan,nan,tomate cafe,['brunch restaurant'],tomate cafe,['brunch restaurant'],berkeley ca,Entertainment
54.48,5094.0,precious stones and metals watches and jewelry,nightrider jewelry,"['jewelry store in scottsdale, arizona']",nightrider jewelry,"['jewelry store in scottsdale, arizona']",scottsdale az,Retail Trade
81.19,5977.0,cosmetic stores,sv all about hair,"['view all', 'hair salon in cypress, texas']",sharkeys hair it is,"['· hair tuckerton rd suite ⋅ opens fri', 'near cypress, tx', '· $$ · hair inside h-e-b groceryclosed ⋅ opens fri']",cypress tx,"Trade, Professional and Personal Services"
42.0,5812.0,restaurants or eating places,smoke & barrel tavern,['bar'],smoke and barrel,['bar'],fayetteville ar,Entertainment
9.1,nan,nan,tojo international,['bakery'],tojo international bakery,['bakery'],newton nc,Retail Trade
35.0,nan,nan,eustis citgo,['gas station'],citgo,['gas station'],eustis fl,Services to Transport
23.23,5812.0,restaurants or eating places,horne & dekker,['restaurant'],horne and dekker,['restaurant'],dallas tx,Entertainment
400.0,nan,nan,cindys catering,"['view all', 'caterer']",cindys catering,"['view all', 'caterer']",laredo tx,Entertainment
618.74,7623.0,air conditioning or refrigeration repair shops,walrath heating,"['hvac contractor in lakewood, colorado']",walrath heating and air conditioning,"['hvac contractor in lakewood, colorado']",lakewood co,"Trade, Professional and Personal Services"
78.0,7392.0,management public relations or consulting services,mr cleanacan fr,['view all'],mr cleaners,"['· cleaning servicehenderson, nvopen ⋅ closes', 'near nevada', '· dry cleanerclosed ⋅ opens fri', '· dry cleanerhenderson, nvclosed ⋅ opens fri']",nv,"Trade, Professional and Personal Services"
24.0,7230.0,barber or beauty shops,haircut store #,"['· hair la paz rd suite a', '· hair la paz rd suite fclosed ⋅ opens fri', 'near laguna niguel, ca', '· cosmetics alicia pkwy bcloses soon ⋅']",haircut,"['· hair la paz rd suite a', '· hair la paz rd ste bclosed ⋅ opens frisalon services & haircare products', '· hair la paz rd suite fclosed ⋅ opens fri', 'near laguna niguel, ca']",laguna niguel ca,"Trade, Professional and Personal Services"
10.0,9399.0,government services (nec) or fire departments,west los angeles crt h,"['view all', 'business center in los angeles, california']",west los angeles college,"['community college in ladera heights, california']",los angeles ca,Travel
32.0,4457.0,boat rentals and leases,funbunns,[],fun bunns,[],manhattan bea ca,Retail Trade
27.0,5812.0,restaurants or eating places,papa leone's pizza inc,['pizza restaurant'],papa leones pizza,['pizza restaurant'],lake havasu az,Entertainment
4.19,nan,nan,handee mart #,"['gas station in chester, west virginia']",handee mart,"['gas station in chester, west virginia']",chester wv,Services to Transport
13.0,nan,nan,spare time vernon,['amusement center'],spare time,"['view all', 'amusement center']",vernon ct,Entertainment
93.5,7011.0,lodging hotels motels resorts,bush hotel,['hotel'],bush hotel,['hotel'],carrick on sh ie,Travel
76.76,nan,nan,ruff cuts dog salo,"['pet groomer in hopewell junction, new york']",ruff cuts dog salon and boutique,"['pet groomer in hopewell junction, new york']",hopewell junc ny,"Trade, Professional and Personal Services"
50.0,nan,nan,hazelden,"['plymouth, mnopen hours', 'near minnesota', 'center city, mnopen hours', 'st paul, mnopen hours']",hazelden foundation,"['plymouth, mnopen hours', 'near minnesota', 'center city, mnopen hours', 'st paul, mnopen hours']",mn,Health and Community Services
250.0,7276.0,tax preparation service,rochford burns and ass,[],rochford burns nasses and associates,"['tax preparation in phoenix, arizona']",az,"Trade, Professional and Personal Services"
58.06,nan,nan,blue crab,"['seafood restaurant', 'view all']",blue crab,"['seafood restaurant', 'view all']",pawleys islan sc,Entertainment
32.19,nan,nan,gearhart grocery,"['convenience store · northopen hours', 'convenience store · ⋅ opens fri', 'liquor store · ⋅ opens fri', 'near gearhart grocery, pacific way, gearhart']",gearhart crossing,['american restaurant'],gearhart or,Retail Trade
99.99,5933.0,pawn shops,mr pawn llc,"['pawn shop in mesquite, nevada']",mr pawn,"['pawn shop in mesquite, nevada']",mesquite nv,Retail Trade
4.98,5814.0,fast food restaurants,jim's bagel loft,['bagel shop'],jims bagel loft,['bagel shop'],robbinsville nj,Retail Trade
142.63,5651.0,family clothing stores,talbots #,"[""women's clothing store in mesa, arizona""]",talbots,"[""women's clothing store in mesa, arizona""]",mesa az,Retail Trade
75.0,5941.0,sporting goods stores,nomad ventures,"['outdoor sports store in temecula, california']",nomad ventures,"['outdoor sports store in temecula, california']",temecula ca,Retail Trade
145.0,6513.0,real estate agents and managers-rentals,a storage afton self,[],a storage afton self,"['self-storage facility in nelson county, virginia']",co,"Trade, Professional and Personal Services"
81.98,5941.0,sporting goods stores,west world paintball a,"['paintball center in phoenix, arizona']",westworld paintball splatter ranch field,"['paintball center in phoenix, arizona']",phoenix az,Retail Trade
7.47,5812.0,restaurants or eating places,trokay cafe inc,['fine dining restaurant'],trokay,['fine dining restaurant'],truckee ca,Entertainment
4.29,5812.0,restaurants or eating places,kathleen's sky diner,['american restaurant'],kathleens sky diner,['american restaurant'],dallas tx,Entertainment
21.31,7399.0,business services (nec),postal plus,"['shipping and mailing service in boise, idaho']",postal plus,"['shipping and mailing service in boise, idaho']",boise id,Communication Services
109.76,nan,nan,hibiscus suites in,['hotel'],hibiscus suites,['hotel'],sarasota fl,Travel
1.07,5131.0,piece goods notions and other dry goods,notions marketing,"['distribution service in grand rapids, michigan']",notions marketing,"['distribution service in grand rapids, michigan']",grand rapids mi,Retail Trade
33.4,5812.0,restaurants or eating places,new man hing,['delivery chinese restaurant'],new man hing,['delivery chinese restaurant'],nutley nj,Entertainment
71.4,7372.0,computer programming systems design or data processing serv,"domain, inc","['computer consultantbellevue, waopen hours', '· web hosting companycoquitlam, bc, canadaclosed ⋅ opens fri', '· web hosting companyvancouver, bc, canadaopen hours', 'near morrow county, or']","domain, inc","['santa rosa, ca', 'near santa clara county, ca', 'manufacturer · sunnyvale, ca', 'software company · san ramon, catemporarily closed']",ca,"Trade, Professional and Personal Services"
61.1,nan,nan,make a vape,"['vaporizer store in luling, texas']",make a vape,"['vaporizer store in luling, texas']",luling tx,Retail Trade
4.99,nan,nan,novozymes,"['view all', 'manufacturer in franklin county, north carolina']",novozymes,"['view all', 'manufacturer in franklin county, north carolina']",franklinton nc,Retail Trade
10.29,5621.0,women's ready-to-wear stores,pickles and ice cream,[],pickles and ice cream,[],franklin tn,Retail Trade
42.14,nan,nan,eb *las vegas club,[],xs las vegas,[],eventbrite.co ca,Entertainment
84.0,4899.0,cable and other pay television services,al's pub,"['· $pub · n gallatin ave', '· $$pub · e askren stclosed ⋅ opens fri', 'near uniontown, pa', 'pizza · s gallatin aveclosed ⋅ opens fri']",als pub,['pizza restaurant'],uniontown pa,Entertainment
45.35,nan,nan,giuliano's  torran,['italian restaurant'],giulianos delicatessen and bakery,['italian restaurant'],torrance ca,Retail Trade
17.0,7933.0,bowling alleys,skipp's bowling center,"['bowling alley in stevens point, wisconsin']",skipps bowling center,"['bowling alley in stevens point, wisconsin']",stevens point wi,Entertainment
16.02,5621.0,women's ready-to-wear stores,bellezza boutique,"['boutique in centennial, colorado']",bellezza boutique,"['boutique in centennial, colorado']",centennial co,Retail Trade
6.47,5499.0,misc food stores - specialty markets & convenience,sams minimart qps,"['view all', 'warehouse club']",sams club,['warehouse club'],tucson az,Retail Trade
10.0,8099.0,medical services and health practitioners (nec),maricopa intg health s,"['medical clinic · n dysart rd ste ⋅ opens fri', 'public health department · w thunderbird rdclosed ⋅ opens fri', 'medical billing serviceclosed ⋅ opens fri', 'near el mirage, az']",maricopa county health care,"['public health department in el mirage, arizona']",el mirage az,Health and Community Services
57.97,nan,nan,cia at greystone b,"['college in st. helena, california']",the culinary institute of america at greystone,"['college in st. helena, california']",st. helena ca,Travel
16.43,5814.0,fast food restaurants,pacifica pizza,['american restaurant'],pacifica pizza,['american restaurant'],benicia ca,Entertainment
30.0,7699.0,repair shops and related services -- miscellaneous,allied machine works,"['machine shop in phoenix, arizona']",allied machine works,"['machine shop in phoenix, arizona']",phoenix az,"Trade, Professional and Personal Services"
18.93,5812.0,restaurants or eating places,pagosa peaks pizza,['pizza restaurant'],pagosa brewing and grill,['restaurant'],pagosa spring co,Entertainment
52.58,5812.0,restaurants or eating places,ali baba restaurant,['middle eastern restaurant'],ali baba restaurant,['middle eastern restaurant'],el cajon ca,Entertainment
25.0,nan,nan,the hairloom,"['beauty salon in american falls, idaho']",hairloom beauty salon,"['beauty salon in american falls, idaho']",american fall id,"Trade, Professional and Personal Services"
3.5,5812.0,restaurants or eating places,loaded joe's   vail,['coffee shop'],loaded joes,['coffee shop'],vail co,Entertainment
212.5,7538.0,automotive service shops (non-dealer),gatoreyez llc,"['sign shop in tucson, arizona']",gatoreyez graphix and signs,"['sign shop in tucson, arizona']",tucson az,Services to Transport
44.89,nan,nan,bally saddle brook,"['health club in saddle brook, new jersey']",bally sport,"['health club in saddle brook, new jersey']",saddle brook nj,Health and Community Services
25.68,5971.0,art dealers or galleries,c&c/ silver crossing,"['view all', 'demolition contractor in albuquerque, new mexico']",c c mouldings,"['millwork shop in los ranchos de albuquerque, new mexico']",albuquerque nm,Retail Trade
12.63,5812.0,restaurants or eating places,nam viet restaurant hu,['vietnamese restaurant'],nam viet restaurant,[],arlington va,Entertainment
26.15,nan,nan,pupuseris la palme,['salvadoran restaurant'],pupuseria el rincon,['salvadoran restaurant'],minneapolis mn,Entertainment
149.92,7216.0,dry cleaners,ultra one day cleaners,"['dry cleaner in phoenix, arizona']",ultra dry cleaners,"['dry cleaner in phoenix, arizona']",glendale az,"Trade, Professional and Personal Services"
68.56,nan,nan,sq *b & k auto rep,"['auto repair shop in kearney, nebraska']",b and k auto repair,"['auto repair shop in kearney, nebraska']",kearney ne,Services to Transport
40.7,5542.0,automated fuel dispensers,pic n pump,['gas station'],valero,['gas station'],apple valley ca,Services to Transport
46.82,5992.0,florists,tlf*gene's   bowden's,"['florist in lenoir city, tennessee']",tlf*gene's   bowden's,"['towing service in lakewood, washington']",tn,Retail Trade
12.97,7841.0,video tape rental stores,media pro inc,['video production service'],media pro,['video production service'],san francisco ca,Entertainment
24.35,5947.0,card gift novelty or souvenir shops,abundant joy gift shop,"['gift shop in menominee, michigan']",abundant joy gift shop,"['gift shop in menominee, michigan']",menominee mi,Retail Trade
97.76,nan,nan,mcneils towing,"['towing service in sandy, utah']",mcneils towing,"['towing service in sandy, utah']",sandy ut,Services to Transport
7.04,nan,nan,ah lakeside dining,"['bar & grill in portland, oregon']",charlies on the lake,['restaurant'],omaha ne,Entertainment
32.63,5812.0,restaurants or eating places,olive & anchor restaur,['restaurant'],olive and b,"['view all', 'home goods store in vancouver, british columbia']",w vancouver cd,Retail Trade
87.4,nan,nan,miso restaurant,['japanese restaurant'],miso restaurant,['japanese restaurant'],new haven ct,Entertainment
200.0,8111.0,attorneys or legal services,jeffrey a. katz atty,"['lawyer in tucson, arizona']",jeffrey katz law office,"['lawyer in tucson, arizona']",az,"Trade, Professional and Personal Services"
26.34,8398.0,charitable or social services organizations,vchs thrift shop,"['thrift store · livermore, caclosed ⋅ opens fri', 'near santa clara county, ca']",tri valley haven thrift,"['thrift store in livermore, california']",livermore ca,Retail Trade
66.0,7033.0,campgrounds or trailer parks,houston east rv resort,"['rv park in chambers county, texas']",houston east rv resort,"['rv park in chambers county, texas']",baytown tx,Retail Trade
2.17,nan,nan,father's table,['bakery'],fathers table,['bakery'],forest va,Retail Trade
52.85,5511.0,auto/truck dealers new/used sale repair parts & lease,bob smith lincoln merc,"['ford dealer in billings, montana']",bob smith motors,"['car dealer in billings, montana']",billings mt,Retail Trade
19.86,nan,nan,bridge city bait a,"['bait shop in mobridge, south dakota']",bridge city bait,"['bait shop in mobridge, south dakota']",mobridge sd,Retail Trade
133.81,nan,nan,cafe antonio,['italian restaurant'],cafe antonio,['italian restaurant'],morrisville pa,Entertainment
20.0,8099.0,medical services and health practitioners (nec),bend dermatology clini,"['dermatologist · ne conners aveclosed ⋅ opens fri', 'near bend, or', 'dermatologist · ne conners ave', 'dermatologist · nw crossing dr ⋅ opens fri']",bend dermatology clinic,"['dermatologist in redmond, oregon']",bend or,Health and Community Services
11.45,5812.0,restaurants or eating places,spudnut shop,['donut shop'],spudnut shop,['donut shop'],richland wa,Retail Trade
245.0,5533.0,automotive parts accessories stores,ventures truck part+eq,"['truck parts supplier in ogden, utah']",ventures truck parts and equipment l.c,"['truck parts supplier in ogden, utah']",ut,Retail Trade
14.5,nan,nan,rusty beagle sport,['bar & grill'],rusty beagle,['bar & grill'],lewisville tx,Entertainment
25.0,8099.0,medical services and health practitioners (nec),lise flores reed phd,[],lise flores reed phd,[],glendale az,Health and Community Services
0.1,nan,nan,google *dasur slideit,[],google.com,[],google.com/ch ca,Property and Business Services
9.95,8398.0,charitable or social services organizations,urbanconnec,[],urban connector,['view all'],ca,Health and Community Services
44.74,7992.0,golf courses -- public,wyndham bay point reso,"['lynn haven, fl', 'panama city beach, fl', 'near bay point rd, upper grand lagoon, fl']",sheraton bay point resort,['hotel'],panama city b fl,Travel
27.0,7230.0,barber or beauty shops,nails by jimmy,"['nail salon in phoenix, arizona']",nails by jimmy,"['nail salon in phoenix, arizona']",phoenix az,"Trade, Professional and Personal Services"
182.18,5411.0,grocery stores or supermarkets,oxford market,['deli'],oxford market,['deli'],oxford ma,Retail Trade
22.82,nan,nan,koeps glenwood cor,"['view all', 'bait shop']",koeps glenwood,['bait shop'],glenwood mn,Services to Transport
51.31,nan,nan,sushiya inc.,[],sushiya,['japanese restaurant'],fishkill ny,Entertainment
139.95,5045.0,computers and computer peripheral equipment and software,portable computer solu,"['computer store in green valley, arizona']",pc solutions,"['computer store in green valley, arizona']",green valley az,"Trade, Professional and Personal Services"
3.56,nan,nan,sweet daddy cupcak,['bakery'],sweet daddy cupcakes,['bakery'],tempe az,Retail Trade
40.0,8041.0,chiropractors,cedar chiropractic,"['chiropractor in flagstaff, arizona']",cedar chiropractic,"['chiropractor in flagstaff, arizona']",flagstaff az,Health and Community Services
8.68,nan,nan,elsys restaurant,['salvadoran restaurant'],elsys restaurant,['salvadoran restaurant'],san francisco ca,Entertainment
44.95,nan,nan,cbi*novastor,[],cbi,"['credit union · plainfield, ilclosed ⋅ opens fri', 'near illinois', 'bank · buffalo prairie, ilclosed ⋅ opens fri', 'local government office · lincolnshire, il']",il,Retail Trade
20.25,5812.0,restaurants or eating places,terribles hotel & casi,['hotel'],silver sevens hotel and casino,['hotel'],las vegas nv,Travel
181.09,5411.0,grocery stores or supermarkets,real cdn. superstore #,"['near calgary, ab, canada', 'seton way seopen ⋅ closes', 'country village rd neopen ⋅ closes', 'ave seopen ⋅ closes']",real cdn. superstore #,"['near calgary, ab, canada', 'seton way seopen ⋅ closes', 'country village rd neopen ⋅ closes', 'ave seopen ⋅ closes']",calgary cd,Retail Trade
41.62,5932.0,antique shops,old bryan marketplace,"['home goods store in bryan, texas']",old bryan market place,"['home goods store in bryan, texas']",bryan tx,Retail Trade
50.12,5192.0,books periodicals and newspapers,z twist books,[],ztwist books,[],ca,Retail Trade
15.83,5814.0,fast food restaurants,mychef area satellite,"['view all', 'restaurant']",mychef area satellite,"['view all', 'restaurant']",fiumicino it,Entertainment
25.63,5814.0,fast food restaurants,rudy's west #,"['near el paso, tx', 'gateway blvd ecloses soon ⋅', 'joe battle blvdcloses soon ⋅', 's desert blvdcloses soon ⋅']",rudys country store  and bar b q,"['near el paso, tx', 'gateway blvd ecloses soon ⋅', 'joe battle blvdcloses soon ⋅', 's desert blvdcloses soon ⋅']",el paso tx,Entertainment
50.0,8398.0,charitable or social services organizations,seattle humane society,"['animal rescue service in bellevue, washington']",seattle humane,"['animal rescue service in bellevue, washington']",bellevue wa,Health and Community Services
52.45,nan,nan,golden pond bp,"['gas station in morgan county, georgia']",valero,"['gas station in morgan county, georgia']",rutledge ga,Services to Transport
10.0,nan,nan,mcsorleys beach pu,"['view all', 'bar & grill']",mcsorleys beach pub,"['view all', 'bar & grill']",fort lauderda fl,Entertainment
7.95,nan,nan,fawns asian cuisine,['asian restaurant'],fawns asian cuisine,['asian restaurant'],des moines ia,Entertainment
4.0,nan,nan,bonita beach park,"['beach in bonita springs, florida']",bonita beach park,"['beach in bonita springs, florida']",fort meyers fl,Travel
43.29,7993.0,video amusement game supplies,gamestop #,"['near belmont', 'san bruno, caclosed ⋅ opens fri', 'san mateo, cacloses soon ⋅', 'redwood city, cacloses soon ⋅']",gamestop,"['near belmont', 'san bruno, caclosed ⋅ opens fri', 'san mateo, cacloses soon ⋅', 'redwood city, cacloses soon ⋅']",belmont ca,Retail Trade
80.0,5973.0,religious goods stores,esoterica occult goods,"['religious goods store in new orleans, louisiana']",esoterica occult goods,"['religious goods store in new orleans, louisiana']",la,Retail Trade
66.0,7230.0,barber or beauty shops,angel nails,"['· nail e baseline rd # ⋅ opens fri', 'near angel nails, e baseline rd # phoenix, az', '· nail e chandler blvd ⋅ opens fri']",angel nails,"['· nail e baseline rd # ⋅ opens fri', 'near angel nails, e baseline rd # phoenix, az', '· nail e chandler blvd ⋅ opens fri']",phoenix az,"Trade, Professional and Personal Services"
17.82,5812.0,restaurants or eating places,pickles deli,['deli'],pickles deli,['deli'],littleton co,Retail Trade
75.0,8398.0,charitable or social services organizations,act*indianola soccer r,[],indianola soccer tribe,"['soccer club in indianola, iowa']",ca,Entertainment
206.0,7999.0,amusement/recreational services not elsewhere classified,dii*sport registration,['view all'],sports alley,"['sporting goods store in virginia beach, virginia']",va,Retail Trade
50.0,7230.0,barber or beauty shops,fransuas at greenwood,[],fransuas hair and nail salon,"['· nail larimer street ⋅ opens fri', '· nail s colorado blvd fclosed ⋅ opens fri', 'near denver, co', '· nail grant stclosed ⋅ opens fri']",denver co,"Trade, Professional and Personal Services"
99.0,5399.0,general merchandise or convenience food stores,smart choice dental pl,"['dentist in ellicott city, maryland']",smart choice delivery,"['courier service in little rock, arkansas']",wy,Communication Services
16.77,nan,nan,big joes pizza and,['pizza restaurant'],big joes pizza and pasta,['pizza restaurant'],euless tx,Entertainment
30.19,5411.0,grocery stores or supermarkets,trading co. store #,"['store · n columbus st', 'near spokane, wa', 'clothing store · spokane valley, waclosed ⋅ opens fri', 'clothing store · n division stclosed ⋅ opens fri']",trading co. store #,"['store · n columbus st', 'near spokane, wa', 'clothing store · spokane valley, waclosed ⋅ opens fri', 'clothing store · n division stclosed ⋅ opens fri']",spokane wa,Retail Trade
15.7,nan,nan,nam's cleaners,"['near williamsburg, va', '· dry john tyler hwy unit ⋅ opens fri', '· dry monticello ave # ⋅ opens fri', '· dry richmond rd # aclosed ⋅ opens fri']",nams cleaners,"['near williamsburg, va', '· dry john tyler hwy unit ⋅ opens fri', '· dry monticello ave # ⋅ opens fri', '· dry richmond rd # aclosed ⋅ opens fri']",williamsburg va,"Trade, Professional and Personal Services"
45.65,5812.0,restaurants or eating places,iguana grill,['restaurant'],iguana grill,['restaurant'],austin tx,Entertainment
10.0,nan,nan,camden parking aut,"['near camden, nj', 'city government delaware aveclosed ⋅ opens fri', 'parking s st', 'parking dr martin luther king blvd']",camden parking authority,"['city government office in camden, new jersey']",camden nj,Services to Transport
1.99,7399.0,business services (nec),google *gh androidapps,[],google.com,[],google.com/ch ca,Property and Business Services
37.35,nan,nan,hardts music and a,"['music store in winona, minnesota']",hardts music and audio,"['music store in winona, minnesota']",winona mn,Retail Trade
9.0,7230.0,barber or beauty shops,foy cosmo inc,"['view all', 'beauty supply store in mesa, arizona']",cosmos salon and medspa,"['hair salon in mesa, arizona']",mesa az,"Trade, Professional and Personal Services"
36.85,5814.0,fast food restaurants,asuka ramen,"['near san francisco, ca', '· $$ramen · post stcloses soon ⋅', '· $$ramen · stcloses soon ⋅', '· $ramen · irving stclosed ⋅ opens fri']",asuka ramen,"['near san francisco', '· $$ramen · post stcloses soon ⋅', '· $$ramen · stcloses soon ⋅', '· $ramen · irving stclosed ⋅ opens fri']",san francisco ca,Entertainment
8.02,5411.0,grocery stores or supermarkets,grove street market,['convenience store'],grove street market,['convenience store'],"marysville, w wa",Retail Trade
20.0,5541.0,gas/service stations with/without ancillary services,ljm travel cen,['gas station'],sav o mat travel center,['gas station'],wagon mound nm,Services to Transport
21.5,nan,nan,haledon pizza,['pizza restaurant'],haledon pizza,['pizza restaurant'],haledon nj,Entertainment
27.54,5933.0,pawn shops,jiffy's,"['loan agency in vernal, utah']",jiffys,"['loan agency in vernal, utah']",vernal ut,Finance
40.66,nan,nan,beef `o` brady`s,"['tamiami trailclosed ⋅ opens fri', 'near port charlotte, fl', 'punta gorda, flclosed ⋅ opens fri']",beef o bradys,"['tamiami trailclosed ⋅ opens fri', 'near port charlotte, fl', 'punta gorda, flclosed ⋅ opens fri']",port charlott fl,Entertainment
18.09,5651.0,family clothing stores,lunardi*s ma,['gourmet grocery store'],lunardis markets,['gourmet grocery store'],belmont ca,Retail Trade
427.37,nan,nan,ironwood dermatolo,"['view all', 'dermatologist in catalina foothills, arizona']",ironwood dermatology pc,"['dermatologist in catalina foothills, arizona']",az,Retail Trade
39.0,7297.0,massage parlors,just massage,"['massage spa in el segundo, california']",just massage,"['massage spa in el segundo, california']",el segundo ca,"Trade, Professional and Personal Services"
0.99,7399.0,business services (nec),google *trey holland,[],google.com,[],google.com/ch ca,Property and Business Services
12.0,5812.0,restaurants or eating places,mansetti's pizza & pas,['pizza restaurant'],mansettis pizza and pasta,['pizza restaurant'],st francis mn,Entertainment
43.0,nan,nan,le souk,['moroccan restaurant'],le souk,['moroccan restaurant'],new york ny,Retail Trade
6.25,5921.0,liquor wine package or beer stores,logan liquors,['liquor store'],logan liquors,['liquor store'],denver co,Retail Trade
