Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
29.97,5968.0,continuity/subscription merchant,mag*mustang monthly,['view all'],mustang mowers,"['lawn mower store · new market, tnclosed ⋅ opens fri', 'near tennessee', 'view all', 'tractor dealer · mcminnville, tnclosed ⋅ opens fri', 'repair service · scotts hill, tnclosed ⋅ opens fri']",tn,Retail Trade
18.28,nan,nan,the psychedelioc s,"['tobacco shop in the ferry pass, florida']",psychedelic shack,"['plantation rd ⋅ opens fri', 'n aveclosed ⋅ opens fri', 'near pensacola, fl']",pensacola fl,Retail Trade
28.25,5499.0,misc food stores - specialty markets & convenience,thanh son tofu of pdx,['tofu shop'],thanh son tofu of portland,['tofu shop'],portland or,Entertainment
80.0,nan,nan,annie rose nails,"['nail salon in eastchester, new york']",annie rose nail,"['nail salon in eastchester, new york']",eastchester ny,"Trade, Professional and Personal Services"
20.0,8011.0,doctors or physicians,jerry ellen owensby md,"['internist in mesa, arizona']",dr. jerry e. owensby md,"['internist in mesa, arizona']",mesa az,Health and Community Services
7.0,5812.0,restaurants or eating places,pork chop johns,"['harrison aveclosed ⋅ opens fri', 'w mercury stclosed ⋅ opens fri', 'near butte, mt']",pork chop johns,"['harrison aveclosed ⋅ opens fri', 'w mercury stclosed ⋅ opens fri', 'near butte, mt']",butte mt,Entertainment
29.0,5968.0,continuity/subscription merchant,twx*hx*trv+leis,[],twx*hx*trv+leis,[],ny,Property and Business Services
58.86,5944.0,clock jewelry silverware or watch stores,holy and pure gemstone,"['bead wholesaler in suwanee, georgia']",holy and pure gemstone,"['bead wholesaler in suwanee, georgia']",ga,Retail Trade
104.93,7261.0,crematories or funeral services,a.j. desmond & sons fu,"['funeral home in troy, michigan']",a. j. desmond and sons funeral directors,"['· funeral rochester rdopen hours', 'near troy, mi', '· funeral crooks rdopen hours']",troy mi,"Trade, Professional and Personal Services"
16.45,nan,nan,mrmc dining room,"['view all', '· $$restaurant · e silver springs blvdclosed ⋅ opens fri', '· $$southern · s magnolia aveclosed ⋅ opens fri', '· $$italian · sw college rdclosed ⋅ opens fri', 'near ocala, fl']",florida hospital,"['near ocala, fl, fl', 'hospital · ocala, flopen hours']",ocala fl,Health and Community Services
43.13,5812.0,restaurants or eating places,peppers uptown,['american restaurant'],peppers at uptown,['american restaurant'],mcallen tx,Entertainment
10.0,5399.0,general merchandise or convenience food stores,aafes song kun barber,[],aafes,[],apo xx,Services to Transport
10.0,nan,nan,un wine nail spa i,"['beauty salon in virginia beach, virginia']",unwine nail spa,"['beauty salon in virginia beach, virginia']",va beach va,"Trade, Professional and Personal Services"
7.25,7832.0,motion picture theaters,cedar rapids galaxy,"['movie theater in cedar rapids, iowa', 'standard am · am · pm · pm · pm · pm · pm · pm · pm · pm', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul', 'standard am · am · pm · pm · pm · pm · pm · pm', 'standard am · am · am · am · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · am · pm · pm · pm · pm']",marcus cedar rapids cine,"['movie theater in cedar rapids, iowa', 'standard am · am · pm · pm · pm · pm · pm · pm · pm · pm', 'fri, jul | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul | thu, jul', 'standard am · am · pm · pm · pm · pm · pm · pm', 'standard am · am · am · am · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · pm · am · pm · pm · pm · pm']",cedar rapids ia,Entertainment
41.78,nan,nan,valero upper saddl,"['near upper saddle river, nj']",valero,"['upper saddle river, njopen', 'upper saddle river,', 'near washington dc (hagerstown md)']",upper saddler nj,Services to Transport
7.0,nan,nan,the saddle rack,['night club'],the saddle rack,"['view all', 'night club']",fremont ca,Entertainment
16.4,7538.0,automotive service shops (non-dealer),abc glass,"['glass & mirror shop in phoenix, arizona']",abc glass,"['glass & mirror shop in phoenix, arizona']",phoenix az,Services to Transport
10.75,nan,nan,kerleys,['barbecue restaurant'],kerleys barbecue,['barbecue restaurant'],welcome nc,Entertainment
84.17,5131.0,piece goods notions and other dry goods,roma industries,"['leather wholesaler in largo, florida']",roma industries,"['leather wholesaler in largo, florida']",fl,Retail Trade
30.0,5812.0,restaurants or eating places,tokyo restaurant,['japanese restaurant'],tokyo restaurant,['japanese restaurant'],hillsboro or,Entertainment
16.34,5812.0,restaurants or eating places,rice time,"['near camas, wa', '· $$restaurant · ne ave ste closed', '· $thai · ne birch stclosed ⋅ opens fri', '· $$chinese · ne avecloses soon ⋅']",rice time,"['near camas, wa', '· $$restaurant · ne ave ste closed', '· $thai · ne birch stclosed ⋅ opens fri', '· $$chinese · ne avecloses soon ⋅']",camas wa,Entertainment
50.0,nan,nan,jennys hair salon,"['hair salon in manassas, virginia']",jennys hair salon,"['hair salon in manassas, virginia']",manassas va,"Trade, Professional and Personal Services"
86.61,5812.0,restaurants or eating places,parioli italian bistro,['italian restaurant'],parioli italian bistro,['italian restaurant'],solana beach ca,Entertainment
6.09,nan,nan,mcdougal's chicken,['chicken restaurant'],outlanders southern chicken,['chicken restaurant'],nolensville tn,Entertainment
17.54,5812.0,restaurants or eating places,hot cakes,['american restaurant'],hot cakes,"['kearney stclosed ⋅ opens fri', 'e aveclosed ⋅ opens fri', 'near denver, co', 'st mallclosed ⋅ opens sat']",denver co,Property and Business Services
51.3,5251.0,hardware stores,orscheln ark city,['animal feed store'],orscheln farm and home,['animal feed store'],arkansas city ks,Retail Trade
8.54,nan,nan,mimbach fleet supp,['hardware store'],mimbach fleet supply,['hardware store'],sauk rapids mn,Retail Trade
26.43,nan,nan,mccalls,['barbecue restaurant'],mccalls bbq and seafood restaurant,['barbecue restaurant'],goldsboro nc,Entertainment
10.0,7361.0,employment agencies or temporary help services,music jobs,[],music jobs,[],london se gb,Property and Business Services
20.76,nan,nan,gray lines linen i,"['fabric store in new york city, new york']",gray lines linen,"['fabric store in new york city, new york']",graylinelinen ny,Retail Trade
19.53,5399.0,general merchandise or convenience food stores,cleanertoday.com,[],cleaner today,"['· pest control serviceclosed ⋅ opens fri', '· cleaning serviceopen hours', 'near santa clara county, ca', '· house cleaning serviceopen hours']",ga,"Trade, Professional and Personal Services"
13.91,nan,nan,great plains veter,"['veterinarian in hobbs, new mexico']",great plains veterinary clinic and hospital,"['veterinarian in hobbs, new mexico']",hobbs nm,Health and Community Services
51.98,nan,nan,paj*ama gram compa,"['clothing store in shelburne, vermont']",the pajamagram company,"['clothing store in shelburne, vermont']",vt,Retail Trade
63.95,5499.0,misc food stores - specialty markets & convenience,permahealth,[],permahealth emmaus pa,[],pa,Retail Trade
81.01,742.0,veterinary services,s lemons dvm pc,"['veterinarian in teller county, colorado']",teller park veterinary service,"['veterinarian in teller county, colorado']",divide co,Health and Community Services
499.03,5944.0,clock jewelry silverware or watch stores,r.l lackner inc,"['jewelry store in brownsville, texas']",r l lackner,"['jewelry store in brownsville, texas']",brownsville tx,Retail Trade
62.94,nan,nan,zipcar inc,"['near cambridge, ma', 'pacific stopen hours', 'mellen stopen hours', 'university rdopen hours']",zipcar,"['audrey st', 'near cambridge, ma', 'bennett stopen hours', 'western aveopen hours']",cambridge ma,Travel
7.49,nan,nan,dooley's pub   roc,['pub'],dooleys pub,['pub'],rochester mn,Entertainment
125.0,8021.0,dentists or orthodontists,bailey orthodontics,"['orthodontist in surprise, arizona']",bailey orthodontics,"['orthodontist in surprise, arizona']",surprise az,Health and Community Services
92.0,7230.0,barber or beauty shops,hush a salon and day s,"['day spa in tucson, arizona']",hush a salon and day spa,"['day spa in tucson, arizona']",tucson az,"Trade, Professional and Personal Services"
20.0,8011.0,doctors or physicians,a cntr for fmly medici,"['family practice physician · roslyn st suite ⋅ opens fri', 'near denver, co', 'family practice physician · navajo stclosed ⋅ opens fri', 'family practice physician · e aveclosed ⋅ opens fri']",center for family medicine,"['medical clinic · n ogden st suite suite ⋅ opens fri', 'family practice physician · roslyn st suite ⋅ opens fri', 'medical clinic · e ave suite ⋅ opens fri', 'near denver, co']",denver co,Health and Community Services
18.63,5812.0,restaurants or eating places,a tavola of the table,['cafe'],lisa peterson catering atavola,['cafe'],boise id,Entertainment
7.0,5812.0,restaurants or eating places,valhalla bar & grill,['bar & grill'],valhalla bar and grill,['bar & grill'],pullman wa,Entertainment
24.05,nan,nan,baldwin grocery,['grocery store'],paul m baldwin grocery,['grocery store'],washington va,Retail Trade
48.78,7011.0,lodging hotels motels resorts,rustic lodge,"['motel in meeker, colorado']",rustic lodge,"['motel in meeker, colorado']",meeker co,Entertainment
0.99,nan,nan,paypal *fivestarst,[],five star pizza,"['ontario, caopen ⋅ closes', 'essex, mdclosed ⋅ opens fri', 'brockton, maclosed ⋅ opens fri', 'near washington dc (hagerstown md)']",ca,Entertainment
44.77,nan,nan,tillys #,"['clothing store in fullerton, california']",tillys,"['clothing store in fullerton, california']",fullerton ca,Retail Trade
15.3,7699.0,repair shops and related services -- miscellaneous,montellas repair,"['mechanic in blanding, utah']",montellas repair,"['mechanic in blanding, utah']",blanding ut,"Trade, Professional and Personal Services"
25.0,nan,nan,sw childrens cente,"['pediatrician in san antonio, texas']",southwest childrens center p.a,"['pediatrician in san antonio, texas']",san antonio tx,Health and Community Services
25.0,nan,nan,r & h motor lines,"['trailer rental service in randolph county, north carolina']",r and h motor lines and trailer rentals,"['trailer rental service in randolph county, north carolina']",nc,"Trade, Professional and Personal Services"
14.03,nan,nan,nong la,"['n la brea aveclosed ⋅ opens fri', 'sawtelle blvdcloses soon ⋅', 'near los angeles']",nong la cafe,"['n la brea aveclosed ⋅ opens fri', 'sawtelle blvdcloses soon ⋅', 'near los angeles']",los angeles ca,Entertainment
45.0,nan,nan,peak orthopedics a,"['orthopedic surgeon in arapahoe county, colorado']",peak orthopedics and spine,"['orthopedic surgeon in arapahoe county, colorado']",lone tree co,Health and Community Services
32.2,nan,nan,rg brewer inc.,[],brewer true value hardware,"['home improvement store in mamaroneck, new york']",mamaroneck ny,Retail Trade
36.0,5812.0,restaurants or eating places,denver beer co,['brewery'],denver beer co canworks,['brewery'],co,Entertainment
7.54,nan,nan,cavarettas italian,['deli'],cavarettas italian deli,['deli'],canoga park ca,Retail Trade
15.06,5541.0,gas/service stations with/without ancillary services,elliotts genrl store,['gas station'],bp,['gas station'],moravia ia,Services to Transport
91.0,nan,nan,kingpin salespad,['view all'],kingpin,"['near florida', 'view all', 'business to business service · st. petersburg, flclosed ⋅ opens fri', 'golf cart dealer · jacksonville, flclosed ⋅ opens fri', 'bowling alley · jacksonville, flclosed ⋅ opens fri']",fl,Entertainment
12.0,nan,nan,lillians llc,[],lillians,"[""women's clothing store in excelsior, minnesota""]",excelsior mn,Retail Trade
5.0,8999.0,professional services (nec),www charitybox com,[],www charitybox com,[],mn,"Trade, Professional and Personal Services"
5.85,nan,nan,marathon food mart,"['dover, flclosed ⋅ opens fri', 'near seffner, fl', 'e dr martin luther king jr blvdclosed ⋅ opens']",marathon food mart,"['dover, flclosed ⋅ opens fri', 'near seffner, fl', 'e dr martin luther king jr blvdclosed ⋅ opens']",seffner fl,Retail Trade
51.14,5713.0,floor covering stores,tile traditions,['corporate office'],tile traditions,['corporate office'],centerville ut,Retail Trade
123.3,nan,nan,smart stop baffin,[],smartstop self storage,"['oakland, caclosed ⋅ opens fri', 'concord, caclosed ⋅ opens fri', 'stockton, caclosed ⋅ opens fri', 'near santa clara county, ca']",ca,"Trade, Professional and Personal Services"
19.29,5814.0,fast food restaurants,geta xpress,['japanese restaurant'],geta xpress,['japanese restaurant'],hanford ca,Entertainment
150.0,8021.0,dentists or orthodontists,kyle sparkman dds ms,"['near sparkman kyle dds, perryton pkwy, pampa, tx', 'dentist · n hobart st', 'orthodontist · perryton pkwy', 'orthodontist · perryton pkwyclosed ⋅ opens tue']",sparkman kyle dds,"['orthodontist · pampa, tx', 'near texas', 'orthodontist · amarillo, tx']",tx,Health and Community Services
99.53,nan,nan,coast bar and gril,['seafood restaurant'],coast bar and grill,['seafood restaurant'],charleston sc,Entertainment
318.99,5995.0,pet shops pet foods and supplies stores,catsplay.com,[],catsplay.com the infotique,['view all'],pa,Retail Trade
137.6,8021.0,dentists or orthodontists,paul w sharbo dds,"['dentist in tucson, arizona']",sharbo paul w dds,"['dentist in tucson, arizona']",tucson az,Health and Community Services
30.0,nan,nan,va beach family me,"['near virginia beach, va', 'family practice physician · first colonial rd suite ⋅ opens fri', 'medical clinic · general booth blvdclosed ⋅ opens fri', 'medical office · first colonial rdclosed ⋅ opens fri']",blackwood family medicine,"['family practice physician in virginia beach, virginia']",virginia bch va,Health and Community Services
84.24,4225.0,public warehousing-farm prod refridgerat,th storage llc,"['self-storage facility · n aveclosed ⋅ opens fri', 'self-storage facility · w lake pleasant pkwyclosed ⋅ opens fri', 'near peoria, az', 'self-storage facility · w bell rdclosed ⋅ opens fri']",extra space storage,"['w beardsley rdclosed ⋅ opens fri', 'n aveclosed ⋅ opens fri', 'near peoria, az']",peoria az,"Trade, Professional and Personal Services"
76.83,5812.0,restaurants or eating places,marchetti's restaurant,['italian restaurant'],marchettis restaurant,['italian restaurant'],cranston ri,Entertainment
27.47,5945.0,hobby toy or games stores,value hobby,"['warehouse in villa park, illinois']",value hobby,"['warehouse in villa park, illinois']",il,Retail Trade
20.0,7230.0,barber or beauty shops,hair attractions,"['beauty salon in mesa, arizona']",hair attractions,"['beauty salon in mesa, arizona']",mesa az,"Trade, Professional and Personal Services"
25.0,nan,nan,amherst family phy,"['medical group in amherst, virginia']",amherst family physicians,"['medical group in amherst, virginia']",amherst va,Health and Community Services
5.48,8011.0,doctors or physicians,sisklyou pediatric cli,"['pediatrician in grants pass, oregon']",siskiyou pediatric clinic llp,"['pediatrician in grants pass, oregon']",or,Health and Community Services
58.16,8011.0,doctors or physicians,gp family practice,"['near arizona', 'family practice physician · phoenix, azclosed ⋅ opens fri', 'doctor · chandler, azclosed ⋅ opens fri', 'family practice physician · tempe, azclosed ⋅ opens fri']",john c lincoln urgent care center,"['emergency room in phoenix, arizona']",az,Health and Community Services
58.71,5992.0,florists,tlf paisley poppy,[],poppy,['view all'],ne,Retail Trade
203.45,nan,nan,utah family motors,"['car dealer in orem, utah']",utah family motors,"['car dealer in orem, utah']",ut,Retail Trade
512.0,nan,nan,cps*auto loan paym,[],cps,[],ca,Retail Trade
212.12,nan,nan,wheelwright lumber,"['lumber store in weber county, utah']",wheelwright lumber,"['lumber store in weber county, utah']",ut,Retail Trade
22.36,nan,nan,cooks torta,['mexican torta restaurant'],cooks tortas,['mexican torta restaurant'],monterey park ca,Retail Trade
169.9,nan,nan,ousley and associa,"['pediatric dentist in waxahachie, texas']",jon ousley dds msd,"['pediatric dentist in waxahachie, texas']",waxahachie tx,Health and Community Services
16.4,5931.0,secondhand or used merchandise stores,sullivan & sons tradin,"['variety store in chino valley, arizona']",sullivan and sons trading,"['variety store in chino valley, arizona']",chino valley az,Retail Trade
39.5,8398.0,charitable or social services organizations,lds chicago ctr,"['temple in glenview, illinois']",lds distribution center,"['church of jesus christ of latter-day saints in glenview, illinois']",glenview il,Retail Trade
3.94,5965.0,combination catalog and retail merchant,otools wholesale inc,[],otools wholesale inc,[],wenden az,Retail Trade
17.7,5812.0,restaurants or eating places,cafe view,"['near tullamarine vic, australia', 'cafe · adina ctcloses soon ⋅', 'cafe · shop keilor park drcloses soon ⋅', 'cafe · garden dr']",cafe vie,"['cafe in tullamarine, australia']",tullamarine au,Retail Trade
10.0,nan,nan,dons music city,[],dons music city,[],greensboro nc,Retail Trade
18.6,nan,nan,ftd*field of flowe,"['florist in davie, florida']",field of flowers,"['florist in davie, florida']",davie fl,Retail Trade
7.62,nan,nan,adams fairacre far,['supermarket'],adams fairacre farms,['supermarket'],poughkeepsie ny,Retail Trade
156.8,5541.0,gas/service stations with/without ancillary services,country gas inc,"['gas company in montezuma county, colorado']",country gas,"['gas company in montezuma county, colorado']",cortez co,Services to Transport
151.54,nan,nan,css,['ship'],css,['ship'],tx,"Trade, Professional and Personal Services"
17.38,5812.0,restaurants or eating places,kayak kafe,"['paulsen stclosed ⋅ opens fri', 'e broughton stclosed ⋅ opens fri', 'near savannah, ga']",kayak kafe midtown,['new american restaurant'],savannah ga,Entertainment
15.73,nan,nan,simply donut,"['donuts · jones rdclosed ⋅ opens fri', '· $donuts · gessner rdclosed ⋅ opens fri', '· $donuts · t c jester blvdclosed ⋅ opens fri', 'near houston, tx']",simply donuts,"['donut westheimer rdopen hours', 'donut t c jester blvdclosed ⋅ opens fri', 'donut gessner rdclosed ⋅ opens fri', 'near houston, tx']",houston tx,Retail Trade
107.74,nan,nan,wheelbuilder.com,"['bicycle store in azusa, california']",wheelbuilder.com,"['bicycle store in azusa, california']",ca,Retail Trade
150.0,8011.0,doctors or physicians,enrique leon md pllc,"['family practice physician in tacoma, washington']",md pllc,"['oral surgeon · n scottsdale rd ⋅ opens fri', 'psychiatrist · east vía de ventura suite ⋅ opens fri', 'near scottsdale, az', 'internist · e acoma dr ⋅ opens fri']",scottsdale az,Health and Community Services
8.79,5947.0,card gift novelty or souvenir shops,mountain village merch,['grocery store'],mountain village mercantile,['grocery store'],stanley id,Retail Trade
37.4,nan,nan,marquis family den,"['dentist in harris county, texas']",marquis family dentistry,"['dentist in harris county, texas']",katy tx,Health and Community Services
133.89,nan,nan,swingle meat co,['butcher shop'],swingle meat company,['butcher shop'],jackson ca,Retail Trade
5.0,nan,nan,omar d hussamy md,"['orthopedic surgeon in gifford, florida']",omar hussamy m.d,"['orthopedic surgeon in gifford, florida']",vero beach fl,Health and Community Services
66.0,nan,nan,valutec card solutions,"['professional services in franklin, tennessee']",valutec card solutions,"['professional services in franklin, tennessee']",tn,Finance
1.88,nan,nan,mangrove bay golf,['golf course'],mangrove bay and cypress links golf course,['golf course'],st petersburg fl,Entertainment
9.77,nan,nan,rest yassunagas,[],sao paulo caf,"['furniture wholesaler · r. bresser,', 'dept of city treasure · praça do patriarca, ⋅ opens', 'corporate office · rua tabapuã, - andarclosed ⋅ opens', 'near são paulo, state of são paulo, brazil']",sao paulo br,Entertainment
250.61,5999.0,miscellaneous & specialty stores,my closet ltd,"['view all', 'interior designer in tucson, arizona']",community closet,"['used clothing store in tucson, arizona']",tucson az,Retail Trade
41.02,5411.0,grocery stores or supermarkets,gold's corner groc,['grocery store'],golds corner grocery,['grocery store'],wheat ridge co,Retail Trade
24.0,5812.0,restaurants or eating places,la vista,"['italian restaurant · del monte drclosed ⋅ opens fri', 'apartment complex · marable dr', 'mexican torta restaurant · katy fwy ⋅ opens fri', 'near houston, tx']",la vista,"['italian restaurant · del monte drclosed ⋅ opens fri', 'apartment complex · marable dr', 'mexican torta restaurant · katy fwy ⋅ opens fri', 'near houston, tx']",houston tx,Entertainment
100.01,nan,nan,lemons' philo mark,['grocery store'],lemons philo market,['grocery store'],philo ca,Retail Trade
6.25,nan,nan,junior market,"['near los angeles, ca', 'liquor store · melrose aveopen ⋅ closes', 'liquor store · ⋅ closes', 'grocery store · wilshire blvdclosed ⋅ opens fri']",junior market,"['near los angeles, ca', 'liquor store · melrose aveopen ⋅ closes', 'liquor store · ⋅ closes', 'grocery store · wilshire blvdclosed ⋅ opens fri']",los angeles ca,Retail Trade
41.3,nan,nan,sq *david's tutori,"['auto body shop in pima county, arizona']",davids,"['bridal shop in tucson, arizona']",tucson az,Retail Trade
10.0,nan,nan,kd's lounge,"['bar', 'view all']",classics hair cuts for kids and adults,"['hair salon in tampa, florida']",tampa fl,"Trade, Professional and Personal Services"
26.2,8011.0,doctors or physicians,dinklage medical clini,"['medical clinic · scribner, ne', 'medical clinic · pender, neclosed ⋅ opens fri', 'family practice physician · west point, neclosed ⋅ opens fri', 'near nebraska']",dinklage medical clinic,"['medical clinic · scribner, ne', 'medical clinic · pender, neclosed ⋅ opens fri', 'family practice physician · west point, neclosed ⋅ opens fri', 'near nebraska']",ne,Health and Community Services
20.0,8220.0,universities colleges sr colleges or professional schools,embry riddle aeronauti,"['university · tampa, fl', 'university · fort lauderdale, fl', 'university · daytona beach, flclosed ⋅ opens fri', 'near florida']",embry riddle aeronautical university,"['university · tampa, fl', 'university · daytona beach, flclosed ⋅ opens fri', 'near florida']",fl,Education
13.26,nan,nan,greene turtle,['restaurant'],the greene turtle sports bar and grille,['restaurant'],chesapeake va,Entertainment
9.08,5814.0,fast food restaurants,sarahs market & cafe,['cafe'],sarahs market and cafn,['cafe'],cambridge ma,Entertainment
28.0,5813.0,alcoholic beverages drinking places - bars nightclubs etc,sans souci cocktails,['cocktail bar'],sans souci cocktail lounge,['cocktail bar'],ventura ca,Entertainment
232.5,7922.0,theatrical producers (excl motion pictures) ticket agencies,teatro zinzanni,[],teatro zinzanni,[],wa,Entertainment
25.55,7394.0,equip tool furniture appliance lease/rental,mk stroller mdse sh,['view all'],buena vida,"['vacation home rental agency in orange county, florida']",lake buena vi fl,Retail Trade
16.25,5812.0,restaurants or eating places,new sushi king,['sushi restaurant'],sushi king,['seafood restaurant'],alameda ca,Entertainment
55.0,7631.0,clock jewelry or watch repair,"adao global, llc",[],adao global,[],tx,"Trade, Professional and Personal Services"
13.87,nan,nan,delphos ace hardwa,"['hardware store in delphos, ohio']",delphos ace,"['hardware store in delphos, ohio']",delphos oh,Retail Trade
50.96,5812.0,restaurants or eating places,frankie farrell's iris,['irish pub'],frankie farrells,['irish pub'],orlando fl,Entertainment
15.0,8011.0,doctors or physicians,plano orthopedic & spo,"['orthopedic surgeon in plano, texas']",plano orthopedic sports medicine and spine center,"['orthopedic surgeon in plano, texas']",plano tx,Health and Community Services
9.15,nan,nan,pollo riko,['colombian restaurant'],pollo riko,['colombian restaurant'],hialeah fl,Entertainment
286.0,4722.0,travel agencies,on trek,[],on trek student travel incline village nv,[],nv,Travel
8.0,nan,nan,deshon industries,"['medical equipment manufacturer in waller county, texas', 'view all']",medline industries,"['near katy, tx', '⋅ opens fri']",katy tx,"Trade, Professional and Personal Services"
1172.29,nan,nan,stacy furniture an,"['furniture store in grapevine, texas']",stacy furniture and design,"['furniture store in grapevine, texas']",grapevine tx,Retail Trade
114.99,8011.0,doctors or physicians,jose marcos  bittencou,"['doctor in niterói, brazil']",jose marcos  bittencou,"['doctor in niterói, brazil']",niteroi br,Health and Community Services
5.0,8011.0,doctors or physicians,paula springer md,"['doctor · dundee ct #', 'near cypress, tx', 'doctor · houston, txclosed ⋅ opens fri']",paula springer md,"['doctor · dundee ct #', 'near cypress, tx', 'doctor · houston, txclosed ⋅ opens fri']",cypres tx,Health and Community Services
1.95,5812.0,restaurants or eating places,mugscoffeelounge,"['near fort collins, co', '· $coffee shop · w laurel stclosed ⋅ opens fri', '· $coffee shop · s college aveclosed ⋅ opens fri']",mugs coffee lounge,"['near fort collins, co', '· $coffee shop · w laurel stclosed ⋅ opens fri', '· $coffee shop · s college aveclosed ⋅ opens fri']",ft collins co,Entertainment
3.74,nan,nan,arcadia do it best,"['hardware store in arcadia, florida']",arcadia do it best hardware,"['hardware store in arcadia, florida']",arcadia fl,"Trade, Professional and Personal Services"
1.86,5814.0,fast food restaurants,greenhouse cafe,"['· $$vegetarian cafe and deli · st paul stclosed ⋅ opens fri', 'near baltimore, md', 'coffee shop · falls rdclosed ⋅ opens fri']",greenhouse cafe,"['· $$vegetarian cafe and deli · st paul stclosed ⋅ opens fri', 'near baltimore, md', 'coffee shop · falls rdclosed ⋅ opens fri']",baltimore md,Entertainment
6.0,nan,nan,hn image nails l.l,"['nail salon in missouri city, texas']",image nails,"['nail salon in missouri city, texas']",missouri city tx,"Trade, Professional and Personal Services"
25.0,5441.0,candy confectionery or nuts stores,world's finest chocola,"['near illinois', 'chicago, ilclosed ⋅ opens fri']",worlds finest chocolate,"['near illinois', 'chicago, ilclosed ⋅ opens fri']",il,Retail Trade
77.3,nan,nan,isanti tire and au,"['car repair and maintenance in isanti, minnesota']",isanti tire and auto care,"['car repair and maintenance in isanti, minnesota']",mn,Retail Trade
47.41,5542.0,automated fuel dispensers,deli food plaz,['deli'],deli food plaza,['deli'],gardner ks,Retail Trade
25.0,5812.0,restaurants or eating places,burchfield pizzeria,"['· $pizza · allison park, paclosed ⋅ opens fri', '· $pizza · allison park, pa', 'near allison park, hampton township, pa']",pasquales pizzeria,"['allison park, paclosed ⋅ opens fri', 'near allison park, hampton township, pa']",allison park pa,Entertainment
13.0,7832.0,motion picture theaters,selma theaters,"['family counselor · lincoln ave ⋅ opens fri', 'performing arts theater · start deco theater screening indie films', 'movie theater · selma, ca', 'near san rafael, ca']",century northgate,"['standard pm', 'movie theater', 'today | tomorrow | sat, jul | sun, jul | mon, jul | tue, jul | wed, jul']",san rafael ca,Entertainment
8.36,nan,nan,high nooner pines,['sandwich shop'],the high nooner,['sandwich shop'],spokane wa,Retail Trade
3.91,5814.0,fast food restaurants,sharps,['hamburger restaurant'],sharps,['hamburger restaurant'],lewiston id,Entertainment
18.74,8398.0,charitable or social services organizations,sigma kappa foundation,"['fraternal organization in carmel, indiana']",phi sigma kappa fraternity,[],in,Health and Community Services
55.71,7538.0,automotive service shops (non-dealer),"t & h parts, inc.","['auto parts store in craig, colorado']",napa auto parts,"['auto parts store in craig, colorado']",craig co,Retail Trade
14.08,5541.0,gas/service stations with/without ancillary services,cormorant store inc.,['convenience store'],cormorant storage,['convenience store'],pelican rapid mn,"Trade, Professional and Personal Services"
30.63,5699.0,apparel and accessory shops -- miscellaneous,ptaks formal wear inc,"['formal wear store in uniontown, pennsylvania']",ptaks,"['formal wear store in uniontown, pennsylvania']",uniontown pa,Retail Trade
34.0,8021.0,dentists or orthodontists,joey piatek dds,"['dentist in marble falls, texas']",piatek joey dds,"['dentist in marble falls, texas']",marble falls tx,Health and Community Services
45.06,5813.0,alcoholic beverages drinking places - bars nightclubs etc,riley's fine food,['bar & grill'],rileys cannibal jct,['bar & grill'],deer river mn,Entertainment
13.56,5411.0,grocery stores or supermarkets,ley periferico,['supermarket'],mexicali blues,[],mexicali bcn mx,Retail Trade
20.66,5812.0,restaurants or eating places,bourbon barrel beef &,['american restaurant'],bourbon barrel beef and ale,['american restaurant'],waynesville nc,Entertainment
4.38,8220.0,universities colleges sr colleges or professional schools,union college  dining,"['view all', 'bakery']",union college,"['college in lincoln, nebraska']",lincoln ne,Retail Trade
34.39,5968.0,continuity/subscription merchant,bmc*tgc with bh g cook,[],bmc,"['philadelphia, pa', 'business center · lancaster, patemporarily closed', 'building materials supplier · paradise, paclosed ⋅ opens fricontractor building materials & hardware', 'near washington dc (hagerstown md)']",pa,"Trade, Professional and Personal Services"
35.0,8042.0,ophthalmologists or optometrists,upi ophthalmology,"['near tucson, az', 'ophthalmologist · e grant rdclosed ⋅ opens fri', 'ophthalmologist · n alvernon way ste ⋅ opens fri', 'ophthalmologist · n la cholla blvdclosed ⋅ opens fri']",southern arizona ophthalmology,"['ophthalmologist in tucson, arizona', 'view all']",tucson az,Health and Community Services
3.0,nan,nan,met mus roof g,"['cafe', 'view all']",metropolitan museum of art,"['museum in new york city, new york']",new york ny,Education
15.75,nan,nan,basta pasta,['italian restaurant'],basta pasta,['italian restaurant'],skippack pa,Entertainment
13.97,nan,nan,sacs family store,"['thrift store in ashburn, virginia']",sacs thrift stores,"['thrift store in leesburg, virginia']",leesburg va,Retail Trade
193.06,5691.0,men's and women's clothing stores,palmer trading company,[],willy chavarria,"['fashion designer in brooklyn, new york', 'view all']",new york ny,Retail Trade
97.65,4816.0,computer network/info svcs,dot*domainregistration,[],dot*domainregistration,[],wa,"Trade, Professional and Personal Services"
