Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
50.6,nan,nan,nbw*joesnewbalance,['view all'],joes new balance outlet,"['warehouse in earth city, missouri']",mo,Retail Trade
6.0,5812.0,restaurants or eating places,melita's greek cafe,['greek restaurant'],melitas greek cafe and market,['greek restaurant'],denver co,Entertainment
15.32,nan,nan,sq *twisted sister,[],twisted sister,"['· $$bakery · virginia beach, vaclosed ⋅ opens', 'art handcraftopen hours', 'near norfolk, va']",norfolk va,"Trade, Professional and Personal Services"
35.58,5812.0,restaurants or eating places,sam's,"['glass & mirror shop in boston, massachusetts']",sams,"['province stclosed ⋅ opens', 'river stclosed ⋅ opens', 'shawmut aveclosed ⋅ opens', 'near boston, ma']",boston ma,Entertainment
216.09,nan,nan,hotel reykjavik be,"['suðurlandsbraut', 'near reykjavík, iceland', 'thorvaldsenstraeti', 'kópavogur, iceland']",hotel rex san francisco,[],reykjavik is,Travel
89.18,nan,nan,ultimate skin,"['skin care clinic · calabasas rdclosed ⋅ opens fri', 'dermatologist · park sorrento ste ⋅ opens fri', 'near calabasas, ca', 'skin care clinic · calabasas rd ⋅ opens fri']",ultimate skin,"['skin care clinic · calabasas rdclosed ⋅ opens fri', 'dermatologist · park sorrento ste ⋅ opens fri', 'near calabasas, ca', 'skin care clinic · calabasas rd ⋅ opens fri']",calabasas ca,"Trade, Professional and Personal Services"
31.66,5812.0,restaurants or eating places,asmara restaurant,['eritrean restaurant'],asmara restaurant,['eritrean restaurant'],cambridge ma,Entertainment
4.47,nan,nan,shoprite  wstdeptf,['grocery store'],shoprite,['grocery store'],west deptford nj,Retail Trade
25.0,5949.0,needlework sewing or fabric and piece goods stores,vsm group ab,[],vsm,[],huskvarna se,"Trade, Professional and Personal Services"
23.56,5812.0,restaurants or eating places,la brioche inc,['american restaurant'],la brioche true food,['american restaurant'],madison wi,Entertainment
9.41,nan,nan,peters grill,['restaurant'],peters grill,['restaurant'],minneapolis mn,Entertainment
10.99,7542.0,car washes,f&s oil i llc,[],f&s oil i llc,[],peoria az,Services to Transport
35.0,7299.0,misc personal services not elsewhere classified,cats a groomin,"['· pet n main stclosed ⋅ opens sat', 'near walnut creek, ca', '· pet groomerclosed ⋅ opens fri', '· pet ygnacio valley rdclosed ⋅ opens fri']",four paws grooming,"['pet groomer in walnut creek, california']",walnut creek ca,"Trade, Professional and Personal Services"
20.48,5462.0,bakeries,fournoi ppirillos/eps,"['aradippou, cyprusopen ⋅ closes', 'nikodemou mylona ⋅ closes', 'agion anargiron ⋅ closes', 'near larnaca, cyprus', 'view all']",fournoi ppirillos/eps,"['aradippou, cyprusopen ⋅ closes', 'nikodemou mylona ⋅ closes', 'agion anargiron ⋅ closes', 'near larnaca, cyprus', 'view all']",larnaca cy,Retail Trade
80.78,5411.0,grocery stores or supermarkets,copps green,"['grocery lombardi access rdclosed ⋅ opens fri', 'grocery main stclosed ⋅ opens fri', 'grocery storebellevue, wiclosed ⋅ opens fri', 'near green bay, wi']",pick n save,"['main stclosed ⋅ opens fri', 'lombardi access rdclosed ⋅ opens fri', 'bellevue, wiclosed ⋅ opens fri', 'near green bay, wi']",green bay wi,Retail Trade
60.59,5691.0,men's and women's clothing stores,sandwitch,[],sandwiched,"['clothing store in białystok, poland', 'view all']",bialystok pl,Entertainment
9.58,5541.0,gas/service stations with/without ancillary services,ckfontana,"['city in california', 'twitter • day ago', 'twitter • hours ago', 'twitter • days ago']",ckfontana,"['city in california', 'twitter • day ago', 'twitter • hours ago', 'twitter • days ago']",fontana ca,Services to Transport
41.94,5932.0,antique shops,antique specialty mall,"['antique store in albuquerque, new mexico']",antique specialty mall,"['antique store in albuquerque, new mexico']",albuquerque nm,Retail Trade
408.78,7538.0,automotive service shops (non-dealer),cj auto works,"['auto repair shop in woods cross, utah']",c j auto works,"['auto repair shop in woods cross, utah']",bountiful ut,Services to Transport
49.95,5967.0,inbound teleservices merchant,sop*teksetup.com,[],sop,[],cy,Property and Business Services
165.7,nan,nan,matt`s custom meat,['butcher shop'],matts custom meat,['butcher shop'],saint anthony id,Retail Trade
7.03,nan,nan,del s diner,['diner'],dels diner,['diner'],houston tx,Entertainment
31.8,5651.0,family clothing stores,momentum of charlevoix,"['clothing store in charlevoix, michigan']",momentum outfitters,"['clothing store in charlevoix, michigan']",charlevoix mi,Retail Trade
211.69,8011.0,doctors or physicians,swat surgical associat,"['surgeon in lubbock, texas']",swat surgical associates llp,"['surgeon in lubbock, texas']",lubbock tx,Health and Community Services
7.92,nan,nan,tar heel lanes,"['bowling alley in high point, north carolina']",tar heel lanes,"['bowling alley in high point, north carolina']",high point nc,Entertainment
10.0,nan,nan,marzigliano poultr,['butcher shop'],marzigliano live poultry market,['butcher shop'],west new york nj,Retail Trade
6.0,5812.0,restaurants or eating places,the columns hotel &bar,['hotel'],the columns hotel,['hotel'],new orleans la,Travel
77.95,5065.0,electrical parts and equipment,vb encompass,"['manufacturer in mcdonough, georgia', 'view all']",vb encompass,['view all'],ga,Retail Trade
14.95,8299.0,schools and educational services (nec),debtor edu course,[],debtor edu course,[],az,Education
30.0,nan,nan,da computers,"['computer store in palm springs, california']",d a computers,"['computer store in palm springs, california']",palm springs ca,Retail Trade
33.03,5812.0,restaurants or eating places,sweet georgia brown ba,['soul food restaurant'],sweet georgia brown,"['soul food restaurant', 'view all']",dallas tx,Retail Trade
10.0,nan,nan,saint mary's schoo,"['private school in raleigh, north carolina']",saint marys school,"['private school in raleigh, north carolina']",nc,Retail Trade
100.0,nan,nan,multimedia trippak,['view all'],multimedia tech,"['marketing agency in san jose, california']",co,Retail Trade
8.32,5814.0,fast food restaurants,ra @ citigroup,"['financial consultant in jersey city, new jersey']",ra @ citigroup,"['financial consultant in jersey city, new jersey']",jersey city nj,Entertainment
48.97,nan,nan,frontera mex mex g,['mexican restaurant'],frontera mex mex grill,['mexican restaurant'],buford ga,Entertainment
42.95,5812.0,restaurants or eating places,guadalajara restaurant,['mexican restaurant'],guadalajara restaurant,['mexican restaurant'],longview wa,Entertainment
16.81,nan,nan,sai indian groceri,['grocery store'],sai indian groceries,['grocery store'],columbus ga,Retail Trade
105.53,5311.0,department stores,davidsbridal.com,"['near pennsylvania', 'whitehall, paclosed ⋅ opens', 'plymouth meeting, paclosed ⋅ opens', 'springfield, paclosed ⋅ opens']",davids bridal,"['near pennsylvania', 'feasterville-trevose, paclosed ⋅ opens', 'plymouth meeting, paclosed ⋅ opens', 'whitehall, paclosed ⋅ opens']",pa,Retail Trade
100.0,nan,nan,the salish lodge &,['hotel'],salish lodge and spa,['hotel'],wa,Travel
13.6,nan,nan,panchitos mexican,"['mccullough aveclosed ⋅ opens fri', 's zarzamora stclosed ⋅ opens fri', ""near panchito's mexican restaurant, s zarzamora st, san antonio, tx""]",panchitos restaurant,"['near san antonio, tx', 'mccullough aveclosed ⋅ opens fri', 's zarzamora stclosed ⋅ opens fri', 'w commerce stclosed ⋅ opens fri']",san antonio tx,Entertainment
193.39,nan,nan,crawford standard,"['auto repair shop in new prague, minnesota']",crawfords standard services,"['auto repair shop in new prague, minnesota']",new prague mn,Services to Transport
90.0,5941.0,sporting goods stores,luv u sports,['view all'],luv u sports,['view all'],fl,Retail Trade
26.0,7230.0,barber or beauty shops,loveland nails,"['nail salon in loveland, colorado']",loveland nails,"['nail salon in loveland, colorado']",loveland co,"Trade, Professional and Personal Services"
41.05,5947.0,card gift novelty or souvenir shops,mrs grossmans paper co,"['view all', 'corporate office']",mrs grossmans paper,"['view all', 'corporate office']",ca,Retail Trade
7.93,nan,nan,cowboys food mart,"['truck rental agency in walnut springs, texas']",cowboys food mart,"['truck rental agency in walnut springs, texas']",walnut spring tx,Retail Trade
50.0,5511.0,auto/truck dealers new/used sale repair parts & lease,corley nissan llc,"['nissan dealer in gallup, new mexico']",ed corley nissan,"['nissan dealer in gallup, new mexico']",gallup nm,Retail Trade
15.23,nan,nan,steve stein`s famo,['deli'],steve steins famous deli,['deli'],holland pa,Retail Trade
30.66,5812.0,restaurants or eating places,emw china bistro expre,['chinese restaurant'],e.m.w. china bistro express,['chinese restaurant'],fresno ca,Entertainment
124.07,5411.0,grocery stores or supermarkets,g  m supermarket,"['grocery storegravois mills, moclosed ⋅ opens fri', 'supermarketsunrise beach, moclosed ⋅ opens fri', 'near laurie, mo']",g 2 m super mart,['grocery store'],laurie mo,Retail Trade
35.8,5999.0,miscellaneous & specialty stores,truckload marketplace,[],rising,"['thrift store in wadena, minnesota']",wadena mn,Retail Trade
57.38,5499.0,misc food stores - specialty markets & convenience,tasty healthy meals,"['health food · burnet rd ⋅ opens sun', '· $$health food · great hills trl suite ⋅ opens fri', '· $$health food · w stclosed ⋅ opens fri', 'near austin, tx']",tasty healthy meals,"['health food · burnet rd ⋅ opens sun', '· $$health food · great hills trl suite ⋅ opens fri', '· $$health food · w stclosed ⋅ opens fri', 'near austin, tx']",austin tx,Retail Trade
2.74,5814.0,fast food restaurants,bon ton donuts,['donut shop'],bon ton doughnuts,['donut shop'],garland tx,Entertainment
0.98,7929.0,bands orchestras or entertainers,sunfest concerts,['view all'],sunfest country,['view all'],duncan cd,Entertainment
14.25,nan,nan,comstock bar and g,['bar & grill'],comstock bar and grill,['bar & grill'],escondido ca,Entertainment
7.11,nan,nan,expo eats,[],pirates dinner adventure,"['dinner theater in orange county, florida']",orlando fl,Retail Trade
25.17,5814.0,fast food restaurants,c & j barbeque      q,"['near college station, tx', 'harvey rdclosed ⋅ opens fri', 'southwest pkwy ⋅ opens fri']",c and j barbeque,"['near college station, tx', 'harvey rdclosed ⋅ opens fri', 'southwest pkwy ⋅ opens fri']",college stati tx,Entertainment
20.0,7298.0,beauty or health spas,novaera,"['near el paso, tx', 'store · n yarbrough drclosed ⋅ opens fri', 'beauty salon · montwood drclosed ⋅ opens fri']",novaera cuts,"['near el paso, tx', 'store · n yarbrough drclosed ⋅ opens fri', 'beauty salon · montwood drclosed ⋅ opens fri']",el paso tx,"Trade, Professional and Personal Services"
29.97,7311.0,advertising services,saveur,['haitian restaurant'],saveur food group miami fl,"['wholesale grocer · nw ctclosed ⋅ opens', 'near miami, fl', 'caterer · nw aveopen hours', 'distribution service · nw st']",fl,Property and Business Services
17.61,nan,nan,ups*zvt,[],ups,"['atlanta, gaclosed ⋅ opens', 'near georgia']",ga,Communication Services
41.0,5499.0,misc food stores - specialty markets & convenience,sq *trusty sidekick,['view all'],sq *trusty sidekick,['view all'],portland or,Retail Trade
39.01,nan,nan,meehan's on matanz,['irish pub'],meehans irish pub and seafood house,['irish pub'],saint augusti fl,Entertainment
462.74,nan,nan,mr slicks quick oi,"['view all', 'facial spa in los angeles, california']",mr slicks smog and tune,"['smog inspection station in the westmont, california']",los angeles ca,Services to Transport
67.4,5261.0,garden and lawn supply stores or nurseries,"lush nurseries, n.miss",['view all'],lush,['view all'],sardis ms,Retail Trade
24.25,nan,nan,mekong vietnamese,['cambodian restaurant'],mekong bistro,['cambodian restaurant'],portland or,Entertainment
1.0,7994.0,video game arcades/establishments,ea.com,[],ea services,[],ca,"Trade, Professional and Personal Services"
39.69,7338.0,print shops quick copy services or reproduction services,"snowfall press, llc",[],snowfall press,[],co,Property and Business Services
110.0,5631.0,women's accessory and specialty shops,brides by demetrios #,"['bridal shop in atlanta, georgia']",brides by demetrios,"['bridal shop in atlanta, georgia']",atlanta ga,Retail Trade
23.94,5969.0,direct marketers (nec),gpm*emery cat boar,[],gpm,"['pediatrician · brooklyn, nyclosed ⋅ opens', ""children's hospital · staten island, ny"", 'near new york', 'corporate office · new york, nytemporarily closed']",ny,"Trade, Professional and Personal Services"
155.34,5947.0,card gift novelty or souvenir shops,stefanou dimitrios,"['educational institution in athens, greece', 'view all']",athens grill,"['· $$greek · santa clara, caclosed ⋅ opens fri', '· $$greek · suisun city, caclosed ⋅ opens fri', 'near santa clara county, ca']",athens gr,Entertainment
50.0,8011.0,doctors or physicians,concord imaging,"['medical diagnostic imaging center in concord, california', 'medical diagnostic imaging center in san antonio, texas']",concord imaging,"['san antonio, txclosed ⋅ opens fri', 'san antonio, tx', 'near texas', 'lubbock, txclosed ⋅ opens fri']",tx,Health and Community Services
3.55,nan,nan,gas n save/ pdq mi,"['gas station in seaside, california']",pdq food mart,['convenience store'],seaside ca,Retail Trade
18.0,nan,nan,charlies place,['bar & grill'],charlies place,['bar & grill'],san luis obis ca,Entertainment
20.0,8011.0,doctors or physicians,upi ent,"['otolaryngologist · aurora ct fl', 'otolaryngologist · e ave', 'near aurora, co', 'otolaryngologist · aurora court anschutz outpatient pavilion, floorclosed ⋅ opens fri']",rocky mountain ent associates,"['medical office in aurora, colorado']",aurora co,Health and Community Services
27.0,763.0,agricultural cooperatives,antelope hills hay co,"['farm in phoenix, arizona']",hills hair,"['view all', '· hair w. mcdowell rd. ⋅ opens fri', '· hair w van buren st ste ⋅ opens fri', '· hair w van buren stclosed ⋅ opens fri', 'near tolleson, az']",tolleson az,"Trade, Professional and Personal Services"
101.45,nan,nan,john doull booksel,"['rare book store in dartmouth, nova scotia']",john doughs,['view all'],dartmouth cd,Entertainment
40.6,5942.0,book stores,quimby's,"['bookstore in chicago, illinois']",quimbys bookstore,"['bookstore in chicago, illinois']",chicago il,Retail Trade
28.2,nan,nan,pavilions stor,"['vine stopen ⋅ closes', 'west hollywood, caopen ⋅ closes', 'beverly hills, caopen ⋅ closes', 'near w hollywood, hollywood blvd, hollywood, ca']",pavilions,"['vine stopen ⋅ closes', 'west hollywood, caopen ⋅ closes', 'burbank, caopen ⋅ closes', 'near w hollywood, hollywood blvd, hollywood, ca']",w hollywood ca,Retail Trade
115.53,5651.0,family clothing stores,llbean columbia,"['shopping mall in columbia, maryland']",l.l.bean,"['clothing store in north bethesda, maryland']",columbia md,Retail Trade
31.91,nan,nan,fairway pub and gr,['bar & grill'],fairway pub and grill,['bar & grill'],salt lake cit ut,Entertainment
34.75,nan,nan,nickos pizza,['pizza restaurant'],nickos pizza,['pizza restaurant'],van wert oh,Entertainment
101.14,7299.0,misc personal services not elsewhere classified,leap,"['non-profit organization in los angeles, california']",leap,"['non-profit organization in los angeles, california']",los angeles ca,"Trade, Professional and Personal Services"
110.0,8099.0,medical services and health practitioners (nec),nathalie mary lmt,['view all'],nathalie mary,['view all'],or,Health and Community Services
71.28,5045.0,computers and computer peripheral equipment and software,the used computer stor,"['near berkeley', 'computer repair service · gilman stclosed ⋅ opens fri', 'computer store · university avetemporarily closed', 'used furniture store · heinz aveclosed ⋅ opens fri']",used computer,"['· computer repair gilman stclosed ⋅ opens fri', '· computer repair shattuck aveclosed ⋅ opens fricomputers, phones, accessories & repairs', 'near berkeley, ca', '· computer repair kala bagai wyclosed ⋅ opens fri']",berkeley ca,Retail Trade
27.0,8099.0,medical services and health practitioners (nec),mydrnow.com,"['chandler, azclosed ⋅ opens fri', 'near arizona', 'phoenix, azclosed ⋅ opens fri', 'gilbert, azclosed ⋅ opens fri']",my dr now,"['near arizona', 'phoenix, azclosed ⋅ opens fri', 'san tan valley, azclosed ⋅ opens fri', 'gilbert, azclosed ⋅ opens fri']",az,Health and Community Services
129.0,7221.0,photographic studios,dodson photography,"['near dodson photography, e baker st, tucson, az', 'wedding photographerclosed ⋅ opens fri', 'e baker st']",tucson wedding photographer,"['· wedding photographertucson, azclosed ⋅ opens fri', '· wedding photographeropen hours', '· wedding photographer', 'near tucson, az']",tucson az,Retail Trade
32.99,nan,nan,poopeepads,['corporate office'],poopeepads,['corporate office'],ny,Retail Trade
410.0,7999.0,amusement/recreational services not elsewhere classified,fair winds incorporate,[],fair winds incorporate,[],co,Entertainment
159.0,4225.0,public warehousing-farm prod refridgerat,price self storage   n,"['los angeles, caclosed ⋅ opens fri', 'near california', 'norco, caclosed ⋅ opens fri']",price self storage,"['california, mdclosed ⋅ opens', 'scarborough, on, canada', 'williamsburg, vaclosed ⋅ opens', 'location unknown']",ca,"Trade, Professional and Personal Services"
7.95,nan,nan,mccabes gourmet ma,"['restaurant in south bethany, delaware']",mccabes gourmet market,['restaurant'],bethany beach de,Retail Trade
18.68,5812.0,restaurants or eating places,carusos cucina italina,['italian restaurant'],carusos cucina italiana,['pizza restaurant'],north hills ca,Entertainment
15.0,8021.0,dentists or orthodontists,greg pitts dds pc,"['dentist in american fork, utah']",greg g. pitts dds,"['dentist in american fork, utah']",ut,Health and Community Services
99.0,5085.0,industrial supplies (nec),max tool llc,"['tool store in ontario, california']",maxtool,"['tool store in ontario, california']",ca,Retail Trade
19.22,nan,nan,mendo mill & lumbe,"['hardware store in clearlake, california']",mendo mill and lumber,"['hardware store in clearlake, california']",clearlake ca,Retail Trade
15.0,7299.0,misc personal services not elsewhere classified,blue springs ent inc,"['gift shop in volusia county, florida']",blue springs enterprises,"['gift shop in volusia county, florida']",orange city fl,Retail Trade
42.0,nan,nan,sq *mama pizza & c,['italian restaurant'],mamas pizza,['pizza restaurant'],miami fl,Entertainment
1.0,nan,nan,sq *brigade soluti,[],brigade,[],alamo ca,Retail Trade
58.91,5999.0,miscellaneous & specialty stores,ventana canyon,"['resort hotel · n resort drrefined desert hotel with golf courses', 'near tucson, az', 'trail head · n resort drclosed ⋅ opens fri', 'view all', 'resort hotel · n club house lnluxe suites in an upscale golf resort']",ventana canyon,"['resort hotel · n resort drrefined desert hotel with golf courses', 'near tucson, az', 'trail head · n resort drclosed ⋅ opens fri', 'view all', 'resort hotel · n club house lnluxe suites in an upscale golf resort']",tuscon az,Entertainment
44.84,nan,nan,greek  u,"['· $greek · w cary stclosed ⋅ opens', 'near richmond, va', '· $$greek · w broad stclosed ⋅ opens', '· $$greek · staples mill rdclosed ⋅ opens wed', 'view all']",greek on cary,['greek restaurant'],richmond va,Entertainment
97.13,nan,nan,l ottavo ristorant,['italian restaurant'],lottavo ristorante,['italian restaurant'],san francisco ca,Entertainment
32.76,nan,nan,botts family pools,"['swimming pool contractor in bluff city, tennessee']",botts family pools,"['swimming pool contractor in bluff city, tennessee']",tn,Retail Trade
23.5,7922.0,theatrical producers (excl motion pictures) ticket agencies,tix bay area,"['near san francisco bay area, ca', 'theater company · berkeley, casmall stage for kid-oriented productions', 'performing arts theater · san francisco, cacultural center focused on local artists', 'arts organization · san francisco, caclosed ⋅ opens fri']",tix bay area,"['near san francisco bay area, ca', 'theater company · berkeley, casmall stage for kid-oriented productions', 'performing arts theater · san francisco, cacultural center focused on local artists', 'arts organization · san francisco, caclosed ⋅ opens fri']",theatrebayare ca,Entertainment
25.01,nan,nan,mitylene liberty,['convenience store'],mitylene liberty,['convenience store'],montgomery al,Retail Trade
91.94,8011.0,doctors or physicians,conifer intgrtc fmly m,[],conifer integrative family med,"['near columbus oh, oh', 'family practice physician · cincinnati, ohclosed ⋅ opens', 'medical clinic · ann arbor, mi', 'family practice physician · gahanna, ohclosed ⋅ opens']",co,Health and Community Services
29.74,nan,nan,snowshoe brewing c,['brewery'],snowshoe brewing company,['brewery'],arnold ca,Entertainment
11.55,5921.0,liquor wine package or beer stores,wildcat wine & spirits,['wine store'],wildcat wine and spirits,['wine store'],highlands ran co,Retail Trade
59.82,7011.0,lodging hotels motels resorts,maritim frankfurt,"['near bad salzuflen, germany', 'parkstraße', 'view all', 'herforder str.']",maritim frankfurt,"['near bad salzuflen, germany', 'parkstraße', 'view all', 'herforder str.']",bad salzuflen df,Travel
31.12,nan,nan,quick & ez,['liquor store'],quick and ez,['liquor store'],lemoore ca,Retail Trade
85.46,nan,nan,namedroppers,"['parleys wayclosed ⋅ opens fri', 'highland dr.closed ⋅ opens fri', 'near salt lake city, ut']",namedroppers,"['parleys wayclosed ⋅ opens fri', 'highland dr.closed ⋅ opens fri', 'near salt lake city, ut']",salt lake cit ut,Retail Trade
13.0,5812.0,restaurants or eating places,the fort collins brewe,"['near fort collins, co', 'brewery · s college avetemporarily closed', 'brewery · s college ave ⋅ opens fri', 'brewery · e lincoln aveclosed ⋅ opens fri']",prost brewing company,['brewery'],fort collins co,Entertainment
42.88,nan,nan,darren dotson dds,"['dentist in spirit lake, iowa']",hill avenue dental,"['dentist in spirit lake, iowa']",spirit lake ia,Health and Community Services
61.36,5651.0,family clothing stores,sharawaggi/indigo,"['near sharawaggi/indigo, ave, regina, sk, canada', 'book store · albert st nclosed ⋅ opens fri', 'book store · southland mall, gordon rdclosed ⋅ opens fri', 'musician · robinson stclosed ⋅ opens sun']",sharawaggi/indigo,"['near sharawaggi/indigo, ave, regina, sk, canada', 'book store · albert st nclosed ⋅ opens fri', 'book store · southland mall, gordon rdclosed ⋅ opens fri', 'musician · robinson stclosed ⋅ opens sun']",regina cd,Retail Trade
47.0,8011.0,doctors or physicians,alaska heart institute,"['cardiologist in matanuska-susitna, alaska']",alaska heart institute,"['cardiologist in matanuska-susitna, alaska']",wasilla ak,Health and Community Services
33.86,nan,nan,the cheese steak s,['cheesesteak restaurant'],the cheese steak shop,['cheesesteak restaurant'],concord ca,Entertainment
10.0,5814.0,fast food restaurants,sbaih creative cuisine,"['view all', 'american restaurant']",sbaih creative cuisine,"['view all', 'caterer']",henderson nv,Entertainment
11.5,nan,nan,sigma hair cuts,"['hair salon in concord, california']",sigma hair cuts,"['hair salon in concord, california']",concord ca,"Trade, Professional and Personal Services"
63.2,5399.0,general merchandise or convenience food stores,suplimed nutrients,"['weight loss service in yellowstone county, montana']",suplimed nutrients,"['weight loss service in yellowstone county, montana']",mt,Health and Community Services
24.79,5541.0,gas/service stations with/without ancillary services,lamberton handi mart,['convenience store'],lamberton handi mart,['convenience store'],lamberton mn,Retail Trade
21.63,nan,nan,thai & sushi,"['· $$sushi · euclid ave ne ⋅ opens', '· $$thai · cheshire bridge rd ne ⋅ opens', 'near atlanta, ga', '· $$thai · marietta st nw suite aclosed ⋅ opens']",eav thai and sushi,['asian restaurant'],atlanta ga,Entertainment
60.45,3510.0,days inns or daystop,days inn,['hotel'],days inn,[],grayson ky,Travel
46.89,5999.0,miscellaneous & specialty stores,kicks n sticks,"['soccer store in idaho falls, idaho']",kicks n sticks,"['soccer store in idaho falls, idaho']",idaho falls id,Retail Trade
2.0,5968.0,continuity/subscription merchant,twx*xppx*foodwine,[],twx*xppx*foodwine,[],ny,Property and Business Services
3.19,5499.0,misc food stores - specialty markets & convenience,sage mntn natural food,['health food store'],sage mountain natural foods,['health food store'],leavenworth wa,Retail Trade
11.0,nan,nan,orangutang's   gul,['bar'],orangutangs daiquiris and bar,['bar'],gulfport ms,Entertainment
7.7,5462.0,bakeries,good eats boutique,['bakery'],good eats boutique,"['· $$restaurant · greenville, oh', 'near columbus oh, oh', 'tea store', '· $$mexican · grove city, ohcloses soon ⋅']",me,Retail Trade
33.9,nan,nan,court sports and m,"['sporting goods store in owatonna, minnesota']",court sports and more,"['sporting goods store in owatonna, minnesota']",owatonna mn,Retail Trade
0.22,5541.0,gas/service stations with/without ancillary services,ab petroleum #,['gas station'],ab petroleum,['gas station'],lakewood co,Services to Transport
7.0,5814.0,fast food restaurants,fastfoodq,"['· $$fast food · nicollet mallclosed ⋅ opens fri', '· $fast food · s marquette aveclosed ⋅ opens fri', 'near minneapolis, mn', '· $$fast food · lyndale ave sclosed ⋅ opens fri']",raising canes chicken fingers,"['snelling aveclosed ⋅ opens fri', 'near minneapolis, mn', 'washington ave se ste ⋅ opens fri']",minneapolis mn,Entertainment
60.0,4468.0,marinas marine service and supplies,hubbards marina,"['tourist attraction in madeira beach, florida']",hubbards marina,"['tourist attraction in madeira beach, florida']",fl,Retail Trade
61.37,nan,nan,dovetail,"['new american restaurant', 'view all']",dovetail,['new american restaurant'],new york ny,"Trade, Professional and Personal Services"
79.2,nan,nan,the gulf,"['view all', 'seafood restaurant']",the gulf,"['view all', 'seafood restaurant']",orange beach al,Entertainment
10.0,nan,nan,"fairfax tailors, i","['· fair oaks mallclosed ⋅ opens', '· clothing alteration main st unit ⋅ opens', '· clothing alteration chestnut stclosed ⋅ opens', 'near fairfax']",fairfax tailors,"['tailor in fairfax county, virginia']",fairfax va,"Trade, Professional and Personal Services"
40.25,5812.0,restaurants or eating places,cheer`s bar & grill,['bar'],cheers bar and grill,['bar'],las vegas nv,Entertainment
29.09,nan,nan,top dog barkery,['pet store'],top dog barkery,['pet store'],newport beach ca,Retail Trade
206.5,nan,nan,rms management ser,"['business management consultant in warrenville, illinois']",recovery management services,"['business management consultant in warrenville, illinois']",warrenville il,"Trade, Professional and Personal Services"
10.29,5964.0,catalog merchant,klockit geneva styles,[],klockit geneva styles,[],wi,Retail Trade
8.43,nan,nan,kana girls hawaiin,['hawaiian restaurant'],kana girls hawaiian bbq,['hawaiian restaurant'],boise id,Entertainment
42.0,5542.0,automated fuel dispensers,rithi phillips,"['excavating contractor in saint charles, missouri']",rithi phillips,"['excavating contractor in saint charles, missouri']",saint charles mo,Services to Transport
22.09,5462.0,bakeries,la adelita,"['bakery · e washington blvd # ⋅ opens fri', '· $nicaraguan · s union aveclosed ⋅ opens fri', 'mexican · w pico blvdclosed ⋅ opens fri', 'view all', 'near los angeles, ca']",la adelita,"['bakery · e washington blvd # ⋅ opens fri', '· $nicaraguan · s union aveclosed ⋅ opens fri', 'mexican · w pico blvdclosed ⋅ opens fri', 'view all', 'near los angeles, ca']",los angeles ca,Entertainment
19.16,nan,nan,souvineir city,"['gift shop in ormond beach, florida']",souvenir city i,"['near ormond beach, fl', 'gift shop · daytona beach, flclosed ⋅ opens', 'gift shop · s atlantic aveclosed ⋅ opens']",ormond beach fl,Retail Trade
15.0,nan,nan,laporte medical gr,"['family practice physician in la porte, indiana']",beacon medical group laporte,"['family practice physician in la porte, indiana']",laporte in,Health and Community Services
42.0,nan,nan,zeba bar & grill,['bar'],zeba bar,['bar'],washington dc,Entertainment
11.5,7216.0,dry cleaners,main cleaners,"['dry cleaner in alhambra, california']",main cleaners,"['dry cleaner in alhambra, california']",alhambra ca,"Trade, Professional and Personal Services"
9.0,7523.0,automobile parking or parking lots,rof calhoun square llc,"['shopping mall in minneapolis, minnesota']",calhoun square,"['shopping mall in minneapolis, minnesota']",minneapolis mn,Services to Transport
164.74,5065.0,electrical parts and equipment,microvision,['corporate office'],microvision,['corporate office'],wa,Retail Trade
10.8,5812.0,restaurants or eating places,taqueria,['mexican restaurant'],taqueria,['mexican restaurant'],dalhart tx,Entertainment
20.0,8041.0,chiropractors,life family chiropract,"['chiropractor in wasilla, alaska']",life family chiropractic,"['chiropractor in wasilla, alaska']",wasilla ak,Health and Community Services
34.83,3509.0,marriott hotels,marriott,['hotel'],marriott,['hotel'],kirknewton gb,Travel
19.31,nan,nan,fine faucet,"['cabinet maker in san juan capistrano, california']",fine faucets kitchen and bath,"['cabinet maker in san juan capistrano, california']",san juan capi ca,Retail Trade
25.0,nan,nan,altering images sa,[],altered images hair studio,"['beauty salon in allentown, pennsylvania']",coplay pa,"Trade, Professional and Personal Services"
830.0,8641.0,social fraternal or civic associations,texas state rifle associa,"['association in austin, texas']",texas state rifle association,[],austin tx,Health and Community Services
28.0,nan,nan,cooks cafe,['cafe'],cooks cafe,['cafe'],lincoln ne,Entertainment
49.27,5542.0,automated fuel dispensers,bp fairview hts,"['n illinois stopen', 'near fairview heights, il', 'lincoln trailcloses soon ⋅']",bp,"['n illinois stopen', 'near fairview heights, il', 'lincoln trailcloses soon ⋅']",fairview heig il,Services to Transport
9.0,5968.0,continuity/subscription merchant,cwp*phoenix magazine,[],phoenix magazine,"['publisher in scottsdale, arizona', 'twitter • day ago', 'twitter • hours ago', 'twitter • days ago']",az,Property and Business Services
153.0,8244.0,business schools or secretarial schools,edlantis seminars inc,[],edlantis seminars inc. chambersburg pa,"['speech pathologist in franklin county, pennsylvania']",pa,Education
